#sample	data_type	k_cov	mixture	lineages	log_barcodes	log_errors
Dassie_bacilus_SAMN05362535	assembly	1	no			
Dassie_bacilus_SAMN05362569	assembly	1	no			
M_chimpanzee_SAMEA3182759	assembly	1	no			
M_mungi_SAMN04942516	assembly	1	no			
M_suricattae_SAMEA3491431	assembly	1	no			
Mcanetti_GCF_000328845	assembly	1	no	Mcanetti (1)	4.9 (1), La3 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_000343875	assembly	1	no	Mcanetti (1)	4.9 (1), 5.1.2 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_000343895	assembly	1	no	Mcanetti (1)	4.9 (1), La3 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_000343935	assembly	1	no	Mcanetti (1)	1.2.1.1 (1), 6.1.1 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_014489225	assembly	1	no	Mcanetti (1)	1.2.1.1 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_905183065	assembly	1	no	Mcanetti (1)	4.6.2.2 (1), La3 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_918428045	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_918429185	assembly	1	no	Mcanetti (1)	4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_918429195	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_918429235	assembly	1	no	Mcanetti (1)	4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_GCF_946221705	assembly	1	no	Mcanetti (1)	1.2.1.1 (1), 2.1 (1), 6.2.3 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1)	
Mcanetti_SAMEA10017269	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_SAMEA6086631	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_SAMN07344659	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_SAMN12838344	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mcanetti_SAMN16205420	assembly	1	no	Mcanetti (1)	4.3.2.1 (1), 4.9 (1), Mcanetti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mmicroti_GCF_002982215	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1)	
Mmicroti_GCF_904810325	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mmicroti_GCF_904810335	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mmicroti_GCF_904810345	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1, 1)	
Mmicroti_GCF_904810355	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mmicroti_GCF_904810365	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mmicroti_SAMEA4752953	assembly	1	no	Mmicroti (1)	Mmicroti (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mpinnipedii_GCF_002982275	assembly	1	no	Mpinnipedii (1)	Mpinnipedii (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mpinnipedii_GCF_003027795fna	assembly	1	no	Mpinnipedii (1)	4.2.2.1 (1), Mpinnipedii (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mpinnipedii_GCF_003027895	assembly	1	no	Mpinnipedii (1)	Mpinnipedii (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
Mpinnipedii_SAMN02727912	assembly	1	no	Mpinnipedii (1)	4.2.2.1 (1), Mpinnipedii (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
